AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
CMMC,2010-03-01,3.0,0.0,-0.6436921426885551,-0.6438949033252603,0.0,-0.6439078496807839,-0.6438920266105453,0.0,-0.6438875976712111,-0.4218004195808117,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
CNSC,2010-03-01,3.0,0.0,0.04203852602362927,0.2887655716877332,0.0,0.2670236669088936,0.2694595083975599,0.0,1.3548870887042528,-0.23780191091069083,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0461885132100631
CSIC,2010-03-01,3.0,0.0,-0.26016873543208485,-0.2602123349759861,0.0,-0.2602398573618177,-0.26020485991411063,-0.14105367350152742,-0.26023761662787276,-0.14049464688326646,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
EMIC,2010-03-01,3.0,0.0,0.43384942302013224,0.2587406124242189,0.0,0.28981132795303005,0.19860340812744237,0.0,0.47290745234158416,-0.5304956012251185,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.5630356854221846
EMIG,2010-03-01,3.0,-0.6600856728137386,-2.0246352049705063,0.5029115425222895,0.0,0.0,0.0,-0.21429084873982437,0.5029115425222895,0.35960715020609396,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
EMSC,2010-03-01,3.0,0.0,0.4418760050542954,0.14328095531287313,0.0,0.2238543106444156,0.14677719156986974,0.0,0.09419125524646181,-0.12186308301874399,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.4505469464327343
EMUG,2010-03-01,3.0,0.23886519740317866,0.4399473393019875,0.9231032592129687,1.3428551337735435,0.28912127465335297,0.0,-0.14106796085953568,0.9231032592129687,0.3727308790496437,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.05379619715160644
ENDC,2010-03-01,3.0,0.0,0.7134912279573468,0.16868136583506696,0.0,0.16206772981630738,-0.5079122861934185,0.0,0.2121561094289392,0.0,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.00014164975918072012
ENDG,2010-03-01,3.0,0.23419006503664433,0.2989469592068936,0.18038304759989376,0.3239887165747335,0.16531579195736915,0.0,-0.6507326478206507,0.18038304759989376,0.1857810638529955,-0.08048650933279926,-0.4594285502395575,-0.488022577697751,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.3975870255320171
EPMC,2010-03-01,3.0,0.0,0.34225720214224387,0.253428041786911,0.0,0.2602024048710605,0.24999203059185804,0.0,0.2565502808472955,0.0,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.12161308037070973
